,HKUST-1,Cu(BDC),Cu(BPDC),Cu(BDC)(dabco),Concentration,Type
1,0.129,0.213,0.076,0.145,100ppm,Methanol
2,0.114,0.196,0.087,0.13,100ppm,Methanol
3,0.105,0.204,0.092,0.143,100ppm,Methanol
4,0.102,0.21,0.085,0.125,100ppm,Ethanol
5,0.104,0.202,0.083,0.117,100ppm,Methanol
6,0.09,0.214,0.086,0.125,100ppm,1-Propanol
7,0.107,0.212,0.085,0.128,100ppm,1-Propanol
8,0.128,0.215,0.088,0.141,100ppm,1-Propanol
9,0.11,0.195,0.088,0.114,100ppm,1-Propanol
10,0.104,0.199,0.082,0.128,100ppm,1-Propanol
11,0.121,0.198,0.076,0.144,100ppm,1-Butanol
12,0.103,0.203,0.079,0.119,100ppm,1-Butanol
13,0.116,0.2,0.079,0.145,100ppm,1-Butanol
14,0.119,0.203,0.091,0.129,100ppm,Methanol
15,0.128,0.206,0.081,0.141,100ppm,1-Butanol
16,0.129,0.211,0.08,0.135,100ppm,Methanol
17,0.106,0.201,0.08,0.141,100ppm,Methanol
18,0.108,0.205,0.081,0.114,100ppm,Methanol
19,0.105,0.212,0.08,0.129,100ppm,Methanol
20,0.117,0.199,0.078,0.143,100ppm,Methanol
21,0.128,0.213,0.087,0.137,100ppm,Methanol
22,0.13,0.209,0.081,0.132,100ppm,Methanol
23,0.105,0.201,0.088,0.139,100ppm,Methanol
24,0.122,0.199,0.076,0.116,100ppm,Methanol
25,0.115,0.197,0.089,0.121,100ppm,Methanol
26,0.101,0.206,0.078,0.127,100ppm,Methanol
27,0.126,0.207,0.092,0.126,100ppm,Methanol
28,0.1,0.203,0.091,0.126,100ppm,Methanol
29,0.121,0.212,0.085,0.123,100ppm,Methanol
30,0.113,0.196,0.086,0.142,100ppm,Methanol
31,0.112,0.199,0.077,0.133,100ppm,Methanol
32,0.125,0.196,0.084,0.136,100ppm,Methanol
33,0.123,0.196,0.088,0.131,100ppm,Methanol
34,0.1,0.197,0.085,0.11,100ppm,Methanol
35,0.102,0.197,0.085,0.112,100ppm,Methanol
36,0.106,0.195,0.087,0.122,100ppm,Methanol
37,0.129,0.203,0.089,0.135,100ppm,Methanol
38,0.121,0.206,0.083,0.139,100ppm,Methanol
39,0.107,0.212,0.088,0.118,100ppm,Methanol
